==26010== Lackey, an example Valgrind tool
==26010== Copyright (C) 2002-2011, and GNU GPL'd, by Nicholas Nethercote.
==26010== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==26010== Command: ./exit
I  0400523c,3
I  0400523f,2
I  04005241,3
I  04005244,4
I  04005248,2
I  0400524a,4
I  0400524e,3
I  04005251,3
I  04005254,3
I  04005257,3
I  0400525a,6
I  04005260,3
I  04005263,2
I  04005265,3
I  04005268,3
I  0400526b,2
I  0400526d,3
I  04005270,4
I  04005274,2
I  04005276,4
I  0400527a,3
I  0400527d,3
I  04005280,3
I  04005283,3
I  04005286,6
I  0400528c,3
I  0400528f,2
I  04005291,3
I  04005294,2
I  04005296,2
I  04005298,4
I  0400529c,4
I  040052a0,2
I  040052a2,3
I  040052a5,3
I  040052a8,3
I  040052ab,3
I  040052ae,4
I  040052b2,7
 S 04222c40,8
I  040052b9,7
I  040052c0,5
 S 7ff0004d8,8
I  0400b360,4
I  0400b364,7
 L 04223c70,8
I  0400b36b,3
I  0400b36e,2
I  0400b370,4
 L 04222e70,8
I  0400b374,2
 L 040002a8,4
I  0400b376,6
 S 04223cc4,4
I  0400b37c,3
 L 040002b0,4
I  0400b37f,4
 L 040002ac,4
I  0400b383,3
I  0400b386,2
I  0400b388,2
I  0400b38a,2
I  0400b38c,6
 S 04223cc8,4
I  0400b392,3
 L 040002b4,4
I  0400b395,4
I  0400b399,7
 S 04223cd0,8
I  0400b3a0,4
I  0400b3a4,3
I  0400b3a7,4
I  0400b3ab,6
 S 04223ccc,4
I  0400b3b1,7
 S 04223cd8,8
I  0400b3b8,4
I  0400b3bc,3
I  0400b3bf,7
 S 04223ce0,8
I  0400b3c6,4
I  0400b3ca,1
 L 7ff0004d8,8
I  040052c5,7
I  040052cc,7
I  040052d3,7
 S 04223a00,8
I  040052da,7
 S 04223d18,8
I  040052e1,7
I  040052e8,7
I  040052ef,7
 S 04223d20,8
I  040052f6,7
 S 04223d28,8
I  040052fd,2
I  040052ff,7
I  04005306,4
I  0400530a,2
I  0400530c,3
I  0400530f,3
I  04005312,7
 S 04222e08,8
I  04005319,7
 S 042239a8,8
I  04005320,5
 S 7ff0004d8,8
I  04015930,2
 S 7ff0004d0,8
I  04015932,2
 S 7ff0004c8,8
I  04015934,2
 S 7ff0004c0,8
I  04015936,2
 S 7ff0004b8,8
I  04015938,1
 S 7ff0004b0,8
I  04015939,1
 S 7ff0004a8,8
I  0401593a,4
I  0401593e,3
 L 7ff000550,8
I  04015941,7
 S 04222e08,8
I  04015948,4
I  0401594c,5
 S 7ff000488,8
I  04015951,7
 S 04222cc8,8
I  04015958,6
 S 04222cd0,4
I  0401595e,2
I  04015960,5
I  04015965,7
 S 04224238,8
I  0401596c,4
 L 7ff000568,8
I  04015970,2
I  04015972,6
I  04015978,4
I  0401597c,4
 L 7ff000570,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000578,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000580,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000588,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000590,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000598,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005a0,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005a8,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005b0,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005b8,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005c0,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005c8,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005d0,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005d8,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005e0,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005e8,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005f0,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff0005f8,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000600,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000608,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000610,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000618,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000620,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000628,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000630,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000638,8
I  04015980,2
I  04015978,4
I  0401597c,4
 L 7ff000640,8
I  04015980,2
I  04015982,7
I  04015989,4
I  0401598d,2
I  0401598f,11
 S 04222ba8,8
I  0401599a,8
 S 7ff000480,8
I  040159a2,5
 S 7ff000490,8
I  040159a7,4
 L 7ff000648,8
I  040159ab,7
 S 04222e20,8
I  040159b2,3
I  040159b5,6
I  040159bb,8
 L 04222be8,2
I  040159c3,7
 L 04222bb8,8
I  040159ca,7
I  040159d1,7
 L 04222e10,4
I  040159d8,7
 L 04222bf0,8
I  040159df,4
I  040159e3,7
 L 04222bd0,4
I  040159ea,7
 L 04222c48,8
I  040159f1,7
I  040159f8,7
 L 04222e00,8
I  040159ff,3
I  04015a02,6
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000658,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6f4,4
I  04015a16,3
I  04015a19,2
I  04015b50,4
 L 7ff000660,8
I  04015b54,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000668,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6cc,4
I  04015a16,3
I  04015a19,2
I  04015b80,4
 L 7ff000670,8
I  04015b84,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000678,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6f8,4
I  04015a16,3
I  04015a19,2
I  04015b40,4
 L 7ff000680,4
I  04015b44,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000688,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6c0,4
I  04015a16,3
I  04015a19,2
I  04015a20,4
 L 7ff000690,8
I  04015a24,4
 S 7ff000480,8
I  04015a28,8
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000698,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6c4,4
I  04015a16,3
I  04015a19,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff0006a8,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6c8,4
I  04015a16,3
I  04015a19,2
I  04015b90,3
 L 7ff0006b0,4
I  04015b93,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff0006b8,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff0006c8,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6d4,4
I  04015a16,3
I  04015a19,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff0006d8,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6d8,4
I  04015a16,3
I  04015a19,2
I  04015b70,4
 L 7ff0006e0,8
I  04015b74,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff0006e8,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6e0,4
I  04015a16,3
I  04015a19,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff0006f8,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6e4,4
I  04015a16,3
I  04015a19,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000708,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6e8,4
I  04015a16,3
I  04015a19,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000718,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b6ec,4
I  04015a16,3
I  04015a19,2
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000728,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b710,4
I  04015a16,3
I  04015a19,2
I  04015b20,4
 L 7ff000730,4
I  04015b24,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
I  04015a3a,5
 L 7ff000738,8
I  04015a3f,3
I  04015a42,2
I  04015a08,4
I  04015a0c,4
I  04015a10,2
I  04015a12,4
 L 0401b718,4
I  04015a16,3
I  04015a19,2
I  04015b10,4
 L 7ff000740,8
I  04015b14,5
I  04015a30,4
I  04015a34,3
I  04015a37,3
